postal_code;municipality;rent;size
00500;Helsinki;1100;48
00540;Helsinki;1499;65.5
90100;Oulu;525;33
00540;Helsinki;1499;65.5
90500;Oulu;900;70
00330;Helsinki;1533;67
33100;Tampere;790;42
33240;Tampere;1450;105
40100;Jyväskylä;748;39
02700;Kauniainen;495;14.5
33540;Tampere;580;38.5
13100;Hämeenlinna;585;39
13500;Hämeenlinna;949.31;75
40100;Jyväskylä;803;43
40100;Jyväskylä;803;43
40100;Jyväskylä;803;43
00150;Helsinki;880;38.5
00180;Helsinki;800;35
00160;Helsinki;1337;58.5
00560;Helsinki;1060;46.5
00100;Helsinki;980;43
28330;Pori;1150;68
00250;Helsinki;980;43
00180;Helsinki;2800;123
33900;Tampere;695;50
04300;Tuusula;978;78
33540;Tampere;735;54
00300;Helsinki;1104;48.5
33200;Tampere;830;63.5
00170;Helsinki;2500;110
00220;Helsinki;1750;77
00150;Helsinki;1090;48
00500;Helsinki;1158;51
02230;Espoo;3900;230
00220;Helsinki;1680;74
02600;Espoo;1050;48
00530;Helsinki;976;43
20500;Turku;450;26
40100;Jyväskylä;742;39
15110;Lahti;490;30
20100;Turku;490;30
33720;Tampere;520;33
13100;Hämeenlinna;550;36
53100;Lappeenranta;550;36
33100;Tampere;990;57
33500;Tampere;560;37
33530;Tampere;580;39
90100;Oulu;590;40
15110;Lahti;610;42
33500;Tampere;620;43
00840;Helsinki;680;30
00120;Helsinki;770;34
90100;Oulu;820;63
26100;Rauma;900;71
00200;Helsinki;780;34.5
00180;Helsinki;1050;46.5
02200;Espoo;1184;57
20700;Turku;1490;130
02230;Espoo;1075;50
90120;Oulu;368;18
13130;Hämeenlinna;615;42.7
11120;Riihimäki;818;63
11120;Riihimäki;818;63
02210;Espoo;686;28.5
00250;Helsinki;790;35
00710;Helsinki;630;28
00550;Helsinki;988;44
00500;Helsinki;898;40
02600;Espoo;847;35.5
70100;Kuopio;799;43.5
00100;Helsinki;1302;58
70100;Kuopio;991;80.5
00250;Helsinki;830;37
00540;Helsinki;1749;78
33210;Tampere;756;57
00540;Helsinki;1749;78
00550;Helsinki;895;40
04200;Kerava;942;54
33100;Tampere;990;57.5
00210;Helsinki;1050;47
00830;Helsinki;6500;291
06100;Porvoo;850;66.5
00180;Helsinki;1038;46.5
00500;Helsinki;1048;47
11120;Riihimäki;785;60
11120;Riihimäki;785;60
11120;Riihimäki;785;60
70100;Kuopio;730;54.5
02160;Espoo;930;41
40100;Jyväskylä;797;43.5
00350;Helsinki;891;40
70100;Kuopio;650;46.5
00500;Helsinki;1091;49
00150;Helsinki;890;40
00270;Helsinki;1200;54
00420;Helsinki;999;45
00510;Helsinki;950;42.8
15140;Lahti;460;27.5
00180;Helsinki;1530;69
20700;Turku;520;28
00560;Helsinki;1840;83
00560;Helsinki;1030;46.5
00530;Helsinki;1107;50
20720;Turku;435;25
04400;Järvenpää;925;53
01600;Vantaa;1500;65.5
40100;Jyväskylä;815;45
00220;Helsinki;1383;62.5
00200;Helsinki;1845;83.5
00220;Helsinki;1368;62
90100;Oulu;995;81.5
33230;Tampere;1250;90.5
33560;Tampere;990;81
04300;Tuusula;950;77
33100;Tampere;900;72
00640;Helsinki;750;34
33540;Tampere;771;59
02600;Espoo;910;40
00380;Helsinki;1080;49
00540;Helsinki;1190;54
00540;Helsinki;1190;54
00540;Helsinki;1190;54
02100;Espoo;700;30
